player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,year,pid,Rec,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,ht
Ryan Reid,Florida St.,ACC,31,54.8,97.5,18.3,49.1,51.58,9.9,10,10.1,23.2,0.06534084412131975,0.10937489124655699,0.597,0.11647715691191783,0.23721567322305218,0.491,0,0,0,2.6,1.5,46.1,Sr,1.18608,99.6167,2.6,2010,193,82,0.68623872,0.06392039098824759,0.10085217244812397,0.05255676592367024,0.1363635007749282,0.6338,0.3854,0.007102265665360844,0.007102265665360844,1,93.5205,88.4882,0.0042383054448667445,117.284,2.50667,-0.238258,2.74493,2.72072,22.7097,0.514712,2.20601,1.871,2.0968,3.9677,1.129,0.5806,0.5161,6.7742000000000004,C,80
Jeremy Evans,Western Kentucky,SB,34,65.3,129.2,17.3,65.6,66.82,13.5,17.8,5.9,14,0.07103218645948946,0.10321864594894561,0.688,0.14872364039955605,0.22086570477247502,0.673,0.003329633740288568,0.013318534961154272,0.25,7.2,1.9,44.1,Sr,3.49748,123.099,4.4,2010,331,NA,0.69446545,0.12541620421753608,0.15427302996670367,0.023307436182019976,0.06659267480577137,0.8129,0.35,0.06770255271920089,0.07103218645948946,0.9531,95.137200000000007,95.7192,0.0030964039955604884,192.491,8.08383,3.91722,4.16661,6.18888,26.5,4.051,2.13788,2.9706,3.9412,6.9118,0.7353,0.8235,1.7941,10.0294,C,81
Derrick Caracter,UTEP,CUSA,27,53.9,103.5,27.3,57.5,59.84,12,21.7,9,22.2,0.11111097222239583,0.1652775711808138,0.672,0.1999997500003125,0.34166623958386716,0.585,0.0055555486111197915,0.02083330729169922,0.267,3.6,2.1,45.6,Jr,2.80389,115.227,4.6,2010,359,95.4,0.38959989,0.11805540798629557,0.17083311979193358,0.08194434201401693,0.17083311979193358,0.6911,0.4797,0.015277758680579427,0.015277758680579427,1,89.4752,85.588,0.005196243504695619,156.91,3.73222,0.370877,3.36134,4.33394,26.6667,2.39652,1.93742,2.6667,5.4074,8.0741,1.1111,0.963,0.8519,14.0741,PF/C,81
Greivis Vasquez,Maryland,ACC,32,84.8,111.7,30.7,49.7,55.02,3.9,10.3,35.3,18.2,0.12568306010928962,0.14663023679417123,0.857,0.13752276867030966,0.29143897996357016,0.472,0.0610200364298725,0.16939890710382513,0.36,1,2.9,31.8,Sr,5.77909,133.611,2.4,2010,465,91.6,1.87964446,0.05737704918032787,0.09927140255009108,0.08014571948998178,0.19216757741347906,0.578,0.4171,0.0036429872495446266,0.0036429872495446266,1,97.2737,92.9583,0.0035955646630236792,211.734,9.25869,7.75068,1.50801,9.97327,34.3125,8.04126,1.932,1.1875,3.5312,4.7188,6.3438,1.7188,0.3438,20.0312,Pure PG,78
Cole Aldrich,Kansas,B12,36,66.4,116.9,20.2,56.2,59.61,13.6,25.4,5.8,16.4,0.11214953271028037,0.16510903426791276,0.679,0.15472481827622014,0.2751817237798546,0.562,0,0,0,13,1.6,60,Jr,3.51491,122.635,3.8,2010,763,94.8,0.55354846,0.09553478712357218,0.1308411214953271,0.059190031152647975,0.14434060228452752,0.7302,0.4101,0.033229491173416406,0.03426791277258567,0.9697,84.64,78.9024,0.004569179646936657,253.179,11.5599,3.09864,8.4613,9.80489,26.75,4.63956,5.16533,3.0556,6.7778,9.8333,0.8611,0.75,3.4722,11.2778,C,83
Damion James,Texas,B12,34,74.8,115.6,25.5,54.4,57.83,11,23.9,6.1,14.1,0.15063171052122654,0.22351802206375548,0.674,0.1690962427786672,0.31584068335095883,0.535,0.034985429540413907,0.09135084379996963,0.383,3.6,3,54.9,Sr,4.72214,129.966,3.9,2010,825,96.8,0.47826942,0.10689992359570914,0.14674444057229166,0.06219631918295805,0.1690962427786672,0.7285,0.3678,0.028182707129777867,0.029154524617011585,0.9667,87.0914,82.4905,0.00444304265170897,274.792,8.40478,5.14642,3.25836,9.92271,30.2647,7.03914,2.88357,3.1471,7.1471,10.2941,0.9706,1.6765,1.1765,17.9706,PF/C,79
Dexter Pittman,Texas,B12,34,47.1,113.1,24.4,65.4,63.82,16.6,15.3,5.1,20.4,0.11574088363072052,0.20833359053529693,0.556,0.21604964944401164,0.3302473212929892,0.654,0,0,0,8.9,1,63.1,Sr,2.67827,125.449,5.6,2010,827,76.6,0.28333427,0.1620372370830087,0.22067928478924045,0.05401241236100291,0.10956803650374876,0.7343,0.493,0.06172847126971761,0.06481489483320349,0.9524,92.6265,87.7332,0.003913816560267358,142.338,8.09001,3.96504,4.12497,6.99774,19.0588,4.17635,2.8214,2.9706,2.8824,5.8529,0.5,0.3529,1.8529,10.4412,C,82
Stanley Robinson,Connecticut,BE,34,85.6,107.8,20.4,55.9,57.03,8.9,14.6,6.6,18.8,0.05240548927740733,0.08333331901489363,0.629,0.1512027231610441,0.2646047655318272,0.571,0.02319587230311472,0.06786940414615047,0.342,3.2,1.5,25.1,Sr,3.5357,114.267,1.8,2010,1137,96.6,0.4415596,0.09793812750203994,0.12371131894994518,0.05068727651421365,0.13402059552910728,0.7917,0.3782,0.05670102118539154,0.06185565947497259,0.9167,97.9225,91.5023,0.0035723017917007223,216.486,4.35656,2.40491,1.95164,5.11332,34.2353,3.68964,1.42368,2.6765,4.9706,7.6471,1,0.8824,1.2059,14.5294,Wing F,81
Lazar Hayward,Marquette,BE,34,79.5,108.1,29.6,49.5,53.63,8.2,21.3,11.2,12.9,0.09753875980651958,0.11577030369558866,0.843,0.14311761952919227,0.2989973197807329,0.479,0.05925251763947451,0.16955335816834244,0.349,1.7,3.6,24.7,Sr,4.54967,125.739,4.2,2010,1257,85.2,0.77610879,0.08386510188971777,0.12579765283457667,0.05925251763947451,0.17319966694615627,0.6667,0.3421,0.00911577194453454,0.00911577194453454,1,92.9318,87.7798,0.003894941457600996,240.072,6.82767,4.14841,2.67926,6.648,32.2647,4.82618,1.82182,2.1176,5.4118,7.5294,1.5294,1.8824,0.5294,18.1176,Wing F,78
Jordan Crawford,Xavier,A10,35,79.4,113,28.9,53.2,56.43,3.4,12,20.1,14.7,0.10374900065300842,0.1342634126097756,0.773,0.1578031018335674,0.3147343633255129,0.501,0.06887538698813164,0.17611174900762772,0.391,0.6,2.4,27.4,So,5.2373,132.041,2,2010,1345,52.8,1.18821539,0.09677427792003306,0.15518758080870165,0.06102882391353436,0.15954678251681126,0.6236,0.3825,0.01482128580757263,0.01569312614919455,0.9444,97.334,93.4411,0.003175939996460328,213.404,7.51311,6.47642,1.0367,9.56247,32.7714,8.04605,1.51642,0.9714,3.7714,4.7429,2.8857,1.3429,0.2,20.5143,Combo G,76
