Player,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
LeBron James,12,171.5,14.3,+6.32,+5.42,+0.89
Chris Paul,12,138.3,11.5,+5.72,+4.52,+1.20
Kevin Durant,11,132.1,12.0,+5.23,+4.84,+0.39
Nikola Jokic,6,63.6,10.6,+4.85,+3.67,+1.18
Joel Embiid,5,36.4,7.3,+4.65,+2.54,+2.11
Kawhi Leonard,10,82.0,8.2,+4.65,+2.79,+1.86
James Harden,12,136.0,11.3,+4.57,+5.02,-0.45
Stephen Curry,12,118.0,9.8,+4.60,+4.59,+0.00
Rudy Gobert,8,71.2,8.9,+4.38,+0.33,+4.05
Anthony Davis,9,84.3,9.4,+4.29,+2.31,+1.99
Tim Duncan,7,61.3,8.8,+4.21,+0.73,+3.48
Giannis Antetokounmpo,8,78.9,9.9,+4.06,+2.15,+1.91
Russell Westbrook,12,120.0,10.0,+3.74,+3.55,+0.19
Dwight Howard,12,89.3,7.4,+3.40,+0.48,+2.92
Luka Doncic,3,25.2,8.4,+3.44,+4.17,-0.73
Paul George,11,87.9,8.0,+3.29,+1.96,+1.34
Kyle Lowry,12,97.2,8.1,+3.21,+2.61,+0.60
Damian Lillard,9,90.7,10.1,+3.21,+4.40,-1.19
Draymond Green,9,66.1,7.3,+3.20,+0.18,+3.02
Kevin Garnett,7,39.0,5.6,+3.15,-0.06,+3.21
Karl-Anthony Towns,6,51.1,8.5,+3.19,+2.88,+0.31
Jimmy Butler,10,76.0,7.6,+3.17,+2.36,+0.81
Hassan Whiteside,9,40.7,4.5,+3.02,+0.32,+2.70
Manu Ginobili,9,47.7,5.3,+2.99,+2.34,+0.64
Zion Williamson,2,9.8,4.9,+3.15,+3.48,-0.33
Mike Conley,12,83.3,6.9,+2.78,+2.33,+0.45
Jayson Tatum,4,32.0,8.0,+2.79,+1.45,+1.33
Kevin Love,12,71.4,5.9,+2.71,+2.64,+0.07
Paul Millsap,12,82.6,6.9,+2.72,+1.12,+1.60
Dirk Nowitzki,10,67.4,6.7,+2.59,+1.98,+0.61
LaMarcus Aldridge,12,91.8,7.6,+2.58,+1.72,+0.86
Blake Griffin,11,74.5,6.8,+2.59,+2.35,+0.24
Marc Gasol,12,83.8,7.0,+2.49,+0.31,+2.18
Jason Kidd,4,28.4,7.1,+2.44,+0.84,+1.59
Chris Bosh,7,49.5,7.1,+2.43,+1.42,+1.01
Dwyane Wade,10,64.0,6.4,+2.38,+2.40,-0.02
Steve Nash,5,27.8,5.6,+2.31,+3.55,-1.24
Kyrie Irving,10,60.4,6.0,+2.29,+3.24,-0.96
Pau Gasol,10,60.8,6.1,+2.22,+1.10,+1.12
Kristaps Porzingis,5,26.2,5.2,+2.09,+0.74,+1.35
Kobe Bryant,7,42.2,6.0,+2.18,+3.29,-1.11
Clint Capela,7,32.1,4.6,+2.23,+0.38,+1.86
DeAndre Jordan,12,72.9,6.1,+2.11,-0.07,+2.18
Kemba Walker,10,70.4,7.0,+2.14,+2.47,-0.33
DeMarcus Cousins,10,55.1,5.5,+2.10,+0.85,+1.25
Andre Drummond,9,57.9,6.4,+2.07,+0.21,+1.86
Ricky Rubio,10,56.5,5.6,+2.11,+1.01,+1.10
Paul Pierce,8,44.8,5.6,+2.08,+1.27,+0.81
Andrew Bogut,10,33.1,3.3,+2.04,-1.57,+3.61
Marcus Camby,4,15.8,3.9,+2.03,-1.06,+3.09
Deron Williams,8,51.7,6.5,+1.99,+2.70,-0.71
Josh Smith,8,46.7,5.8,+1.96,-0.09,+2.05
Danny Granger,6,24.5,4.1,+1.94,+1.86,+0.08
Jusuf Nurkic,7,23.6,3.4,+1.99,-0.45,+2.43
Al Horford,12,67.3,5.6,+1.92,+0.77,+1.16
Fred VanVleet,5,20.9,4.2,+1.93,+1.30,+0.62
John Wall,10,60.8,6.1,+1.86,+1.62,+0.25
Joakim Noah,11,41.8,3.8,+1.82,-0.25,+2.07
Bam Adebayo,4,21.6,5.4,+1.81,+0.18,+1.63
Nene,10,40.2,4.0,+1.81,+0.01,+1.80
Chris Andersen,8,17.9,2.2,+1.77,-0.37,+2.14
Michael Porter Jr.,2,8.4,4.2,+2.13,+1.86,+0.27
Chris Boucher,4,6.3,1.6,+1.58,+1.11,+0.47
Ben Simmons,4,25.5,6.4,+1.77,+0.62,+1.16
Andrew Bynum,4,16.4,4.1,+1.72,+0.26,+1.46
Danny Green,12,51.3,4.3,+1.65,+0.26,+1.40
Robert Covington,8,37.7,4.7,+1.68,-0.36,+2.04
Andre Iguodala,12,61.8,5.2,+1.64,+0.53,+1.11
Ben Wallace,3,11.1,3.7,+1.66,-1.70,+3.35
Baron Davis,3,12.6,4.2,+1.65,+1.37,+0.28
