"Malik Thomas","Norfolk St.",MEAC,31,63.5,110,19,50,51.86,6.2,13.8,15.1,13.2,41,65,0.631,64,129,0.496,38,113,0.336,4.2,1.1,26.9,Sr,6-7,11,1.90211,106.332,4.4,2015,12422,all,30.2,1.79407064,42,66,22,63,0.6364,0.3492,8,8,1.0000,,101.847,105.702,1.97213,145.362,1.6967,2.24637,-0.549672,0.996316,26.6250,1.45615,-0.459838,1.2188,3.1875,4.4062,1.9062,0.5000,0.9062,9.2812,"Stretch 4",8.35681
"David Brown","Western Michigan",MAC,32,82.5,107.7,23.7,51.6,55.59,1.5,11.6,14.4,14.7,105,143,0.734,76,147,0.517,77,224,0.344,0.2,2.5,38.5,Sr,6-4,5,3.09464,112.437,3.4,2015,13022,all,52.6,1.15877810,65,101,11,46,0.6436,0.2391,0,0,,,107.009,106.132,2.4349,178.296,1.78967,3.25414,-1.46446,2.07466,32.9118,2.56819,-0.493525,0.3824,3.0294,3.4118,2.1471,1.3235,0.1176,15.2941,"Combo G",12.8386
"Brian Richardson","High Point",BSth,29,59.4,99.2,18.1,46.3,50.36,2.6,9.7,14.7,18.8,43,60,0.717,46,100,0.46,24,77,0.312,2.3,1.3,33.9,Sr,6-4,1,0.697673,93.5994,3.3,2015,14954,all,58.2,1.51225408,32,61,14,39,0.5246,0.3590,5,8,0.6250,,107.297,108.232,1.63173,111.056,-1.09437,-0.575375,-0.518999,-2.11456,24.6875,-1.34424,-0.770321,0.4688,1.9375,2.4062,1.9375,0.5000,0.4375,6.8438,"Combo G",6.57904
"Isaac Smith","Maryland Eastern Shore",MEAC,28,25.7,63.1,15.9,25,30.74,1.1,7,24,41.4,12,23,0.522,7,30,0.233,3,16,0.188,0,1.8,50,Sr,6-1,13,-1.16769,57.6478,2.8,2015,14965,all,,1.18919327,5,22,2,8,0.2273,0.2500,0,0,,,106.914,110.888,0.694795,48.123,-11.1742,-7.73649,-3.4377,-9.06319,12.1786,-6.50859,-2.55459,0.1071,0.6786,0.7857,1.5714,0.3571,0.0000,1.2500,"Pure PG",2.8421
"Terence Smith",Mississippi,SEC,34,39.4,109,14.1,48,49.99,0.4,8.2,20.3,14.9,14,19,0.737,24,58,0.414,24,67,0.358,0.4,1,15.2,Sr,6-4,3,1.04981,104.591,3.6,2015,14987,all,,3.05279171,7,11,17,47,0.6364,0.3617,0,0,,,107.169,103.128,1.32805,75.3636,0.151331,1.61196,-1.46063,0.471787,15.8824,0.274872,0.196915,0.0588,1.1765,1.2353,1.7059,0.2647,0.0588,3.9412,"Scoring PG",7.41139
"Steve Frankoski",Columbia,Ivy,25,51.5,110.5,16.9,55.1,56.65,0.9,9.6,6.2,13.6,12,13,0.923,21,53,0.396,44,105,0.419,1,1,8.2,Sr,6-2,5,1.62876,106.508,2.4,2015,15056,all,,0.84209091,3,11,18,42,0.2727,0.4286,0,0,,,107.287,108.876,1.42978,71.7876,-1.4078,1.10513,-2.51293,-0.332049,22.0385,1.5544,-1.88645,0.1538,1.6538,1.8077,0.6154,0.3077,0.1923,7.6538,"Combo G",12.6304
"Dwayne Polee II","San Diego St.",MWC,20,29,97.1,23.5,42.4,46.53,3.7,11.8,9.1,13.6,37,58,0.638,29,71,0.408,20,68,0.294,1.7,4.4,41.7,Sr,6-7,5,1.35369,104.789,2.6,2015,15129,all,67.2,0.80000001,13,23,16,48,0.5652,0.3333,6,9,0.6667,,85.8196,83.0213,3.09896,80.9186,4.69505,1.1403,3.55474,6.13504,20.5000,1.43837,4.69667,0.6500,1.9500,2.6000,0.8000,1.3500,0.3000,7.7500,"Wing G",10.8479
"Ralph Hill",Oakland,Horz,30,21.6,119.4,15.3,56.3,59.67,2.2,10.8,9.9,11.3,14,16,0.875,9,12,0.75,21,60,0.35,1.2,1.5,22.2,Sr,6-6,0,0.845808,112.758,4.7,2015,15217,all,56.4,2.00000000,9,11,0,1,0.8182,0.0000,0,0,,,112.77,110.866,0.511295,42.0118,-0.0609669,2.70373,-2.7647,1.58544,9.3125,2.24401,-0.658564,0.1562,0.8438,1.0000,0.5000,0.2188,0.0938,3.2500,"Wing G",12.9319
"Jamal Mitchell","UNC Greensboro",SC,2,1.7,59.6,8.5,25,25,0,0,0,0,0,0,0,1,4,0.25,0,0,0,0,0,0,Sr,6-4,35,-1.24056,47.4171,4,2015,15238,all,,,0,0,1,4,,0.2500,0,0,,,116.813,121.952,0.178013,1.84528,-11.191,-6.45722,-4.73375,-14.7206,10.6667,-8.71434,-6.00627,0.3333,0.0000,0.3333,0.6667,0.0000,0.0000,2.3333,PF/C,0
"Marcus Thornton",Georgia,SEC,31,67,106.8,22.5,49.6,54.3,7.1,20.5,8.7,13.8,103,149,0.691,126,251,0.502,9,30,0.3,4.3,1.6,53,Sr,6-8,2,2.93749,115.102,4.2,2015,15301,all,76.0,0.69566684,89,132,36,119,0.6742,0.3025,12,13,0.9231,,93.1585,88.7619,3.8219,189.622,4.72743,1.25072,3.47671,4.54863,29.1935,1.95055,2.59808,1.7097,5.5806,7.2903,1.0323,0.7419,1.1290,12.3226,PF/C,2.03162
