year,mae,mape,var
2014,0.03853094458580017,0.33700534623148837,Assist %
2015,0.032165116071701055,0.2930317285608963,Assist %
2016,0.0305573974053065,0.27838503557825534,Assist %
2017,0.02818506073951721,0.2684291499001639,Assist %
2014,0.008870590686798095,0.29900867483589083,Off Rebound %
2015,0.009215936636924743,0.3089140772153545,Off Rebound %
2016,0.011348276352882386,0.4017088974471641,Off Rebound %
2017,0.006314392964045207,0.22026952200157698,Off Rebound %
2014,0.021982599337895717,0.17981676350016948,Def Rebound %
2015,0.019278192043304443,0.15443144493968847,Def Rebound %
2016,0.021422982096672052,0.17470321791373744,Def Rebound %
2017,0.016235714197158815,0.1424185455891124,Def Rebound %
2014,0.02656577327295273,0.0719280842390324,Catch and Shoot 3PT%
2015,0.028980951148922685,0.07816823710743538,Catch and Shoot 3PT%
2016,0.03211264748635362,0.08655213568067499,Catch and Shoot 3PT%
2017,0.02451580659588537,0.06602728815436568,Catch and Shoot 3PT%
2014,0.027449409750710724,0.08669881159322126,Pull Up 3PT%
2015,0.026908378566851465,0.08447979317499878,Pull Up 3PT%
2016,0.03226607410531296,0.09866625818519383,Pull Up 3PT%
2017,0.02365812784063953,0.07433632800453578,Pull Up 3PT%
2014,0.02623854656181135,0.041520101409733744,Opponent Rim FG%
2015,0.024406636946993465,0.03918027670831269,Opponent Rim FG%
2016,0.01999819759263677,0.03155121039108571,Opponent Rim FG%
2017,0.024541628829911455,0.038659658897495126,Opponent Rim FG%
2014,0.03888227237794073,0.06273256752073234,Restricted Area FG%
2015,0.03928302651409499,0.06340751571762528,Restricted Area FG%
2016,0.03368425356768978,0.05408710174114293,Restricted Area FG%
2017,0.04131577239178197,0.06501158302824515,Restricted Area FG%
2014,0.03341308757076111,0.08273716922283704,Floater Range FG%
2015,0.024619803019647335,0.06064358406138239,Floater Range FG%
2016,0.01710979836692786,0.04250113288539411,Floater Range FG%
2017,0.017836576554833394,0.04387077162729224,Floater Range FG%
2014,0.031523518211515555,0.08033789504803097,Mid Range FG%
2015,0.032925827211739866,0.08311903908893281,Mid Range FG%
2016,0.03315505932494639,0.08232668654842398,Mid Range FG%
2017,0.02988069441007532,0.074856427797357,Mid Range FG%
2014,0.04941629536401587,0.054090297647070205,Drive PPP
2015,0.05988048265863816,0.06576761379773113,Drive PPP
2016,0.06329283175088896,0.07033950681445413,Drive PPP
2017,0.04872193352693244,0.05343499836278543,Drive PPP
